,fecha,Menor 1 año,1 a 4 años,5 a 14,15 a 44,45 a 64,65 a 84,85 y más ,total_defunciones
0,2017-01-01,1.0,,,10.0,19.0,33.0,20.0,83.0
1,2017-01-02,1.0,,,12.0,18.0,43.0,33.0,107.0
2,2017-01-03,3.0,,,7.0,29.0,59.0,33.0,131.0
3,2017-01-04,2.0,,1.0,4.0,12.0,38.0,26.0,83.0
4,2017-01-05,2.0,,,6.0,14.0,40.0,29.0,91.0
5,2017-01-06,1.0,,,4.0,20.0,53.0,27.0,105.0
6,2017-01-07,3.0,,,4.0,22.0,44.0,35.0,108.0
7,2017-01-08,2.0,,,9.0,14.0,34.0,35.0,94.0
8,2017-01-09,2.0,2.0,,8.0,14.0,37.0,18.0,81.0
9,2017-01-10,1.0,,,10.0,21.0,40.0,26.0,98.0
10,2017-01-11,3.0,,,10.0,18.0,44.0,29.0,104.0
11,2017-01-12,,,,5.0,25.0,44.0,29.0,103.0
12,2017-01-13,2.0,,1.0,7.0,12.0,31.0,40.0,93.0
13,2017-01-14,2.0,1.0,,12.0,20.0,45.0,27.0,107.0
14,2017-01-15,3.0,,1.0,8.0,20.0,56.0,23.0,111.0
15,2017-01-16,1.0,,,6.0,15.0,31.0,38.0,91.0
16,2017-01-17,3.0,,,7.0,14.0,46.0,34.0,104.0
17,2017-01-18,3.0,,1.0,5.0,28.0,48.0,36.0,121.0
18,2017-01-19,1.0,,,6.0,18.0,63.0,25.0,113.0
19,2017-01-20,3.0,1.0,1.0,5.0,15.0,49.0,42.0,116.0
20,2017-01-21,2.0,,1.0,6.0,28.0,37.0,48.0,122.0
21,2017-01-22,2.0,,,11.0,19.0,39.0,36.0,107.0
22,2017-01-23,4.0,1.0,,6.0,17.0,43.0,35.0,106.0
23,2017-01-24,,,,6.0,19.0,45.0,38.0,108.0
24,2017-01-25,1.0,,,9.0,22.0,48.0,35.0,115.0
25,2017-01-26,,,,7.0,20.0,59.0,30.0,116.0
26,2017-01-27,1.0,,1.0,3.0,22.0,57.0,41.0,125.0
27,2017-01-28,2.0,1.0,,13.0,25.0,59.0,36.0,136.0
28,2017-01-29,,1.0,,7.0,15.0,41.0,20.0,84.0
29,2017-01-30,2.0,,,9.0,19.0,51.0,34.0,115.0
30,2017-01-31,2.0,1.0,,6.0,13.0,64.0,28.0,114.0
31,2017-02-01,1.0,,,7.0,25.0,45.0,38.0,116.0
32,2017-02-02,2.0,,,7.0,19.0,40.0,29.0,97.0
33,2017-02-03,1.0,,,4.0,21.0,51.0,28.0,105.0
34,2017-02-04,1.0,,,6.0,15.0,36.0,19.0,77.0
35,2017-02-05,3.0,,,5.0,21.0,53.0,30.0,112.0
36,2017-02-06,2.0,2.0,,5.0,16.0,41.0,26.0,92.0
37,2017-02-07,3.0,,2.0,7.0,14.0,37.0,20.0,83.0
38,2017-02-08,4.0,,,8.0,21.0,33.0,22.0,88.0
39,2017-02-09,1.0,,,4.0,20.0,36.0,27.0,88.0
40,2017-02-10,1.0,1.0,2.0,8.0,21.0,49.0,23.0,105.0
41,2017-02-11,,,2.0,3.0,16.0,36.0,20.0,77.0
42,2017-02-12,1.0,1.0,,5.0,17.0,43.0,33.0,100.0
43,2017-02-13,1.0,,1.0,8.0,21.0,45.0,39.0,115.0
44,2017-02-14,3.0,,1.0,10.0,13.0,43.0,18.0,88.0
45,2017-02-15,1.0,3.0,,6.0,13.0,32.0,27.0,82.0
46,2017-02-16,4.0,,,10.0,18.0,47.0,29.0,108.0
47,2017-02-17,6.0,,,6.0,10.0,39.0,27.0,88.0
48,2017-02-18,1.0,1.0,,4.0,21.0,47.0,33.0,107.0
49,2017-02-19,1.0,2.0,,11.0,17.0,42.0,27.0,100.0
50,2017-02-20,,,,6.0,19.0,41.0,26.0,92.0
51,2017-02-21,,2.0,,12.0,18.0,44.0,22.0,98.0
52,2017-02-22,3.0,,,7.0,17.0,46.0,34.0,107.0
53,2017-02-23,2.0,,,14.0,21.0,42.0,34.0,113.0
54,2017-02-24,1.0,1.0,,4.0,20.0,36.0,33.0,95.0
55,2017-02-25,1.0,,,9.0,24.0,32.0,34.0,100.0
56,2017-02-26,3.0,,,8.0,27.0,42.0,33.0,113.0
57,2017-02-27,4.0,,1.0,8.0,21.0,46.0,29.0,109.0
58,2017-02-28,1.0,,1.0,2.0,14.0,36.0,26.0,80.0
59,2017-03-01,4.0,,1.0,10.0,13.0,38.0,33.0,99.0
60,2017-03-02,2.0,,,7.0,20.0,37.0,23.0,89.0
61,2017-03-03,,,,6.0,20.0,49.0,27.0,102.0
62,2017-03-04,2.0,,1.0,6.0,25.0,39.0,21.0,94.0
63,2017-03-05,,,1.0,7.0,16.0,30.0,26.0,80.0
64,2017-03-06,4.0,,1.0,5.0,16.0,38.0,18.0,82.0
65,2017-03-07,1.0,,,11.0,20.0,43.0,26.0,101.0
66,2017-03-08,1.0,,,4.0,15.0,40.0,25.0,85.0
67,2017-03-09,1.0,,1.0,4.0,19.0,43.0,25.0,93.0
68,2017-03-10,3.0,2.0,,6.0,17.0,38.0,29.0,95.0
69,2017-03-11,,,,10.0,15.0,34.0,23.0,82.0
70,2017-03-12,2.0,,1.0,12.0,12.0,32.0,27.0,86.0
71,2017-03-13,,,1.0,6.0,21.0,38.0,36.0,102.0
72,2017-03-14,1.0,,,11.0,17.0,38.0,23.0,90.0
73,2017-03-15,1.0,,1.0,5.0,13.0,50.0,23.0,93.0
74,2017-03-16,1.0,,,9.0,14.0,43.0,26.0,93.0
75,2017-03-17,3.0,,,14.0,20.0,33.0,22.0,92.0
76,2017-03-18,,,,4.0,17.0,44.0,41.0,106.0
77,2017-03-19,2.0,,,10.0,19.0,38.0,26.0,95.0
78,2017-03-20,1.0,,,7.0,18.0,42.0,22.0,90.0
79,2017-03-21,1.0,,,5.0,13.0,45.0,30.0,94.0
80,2017-03-22,,,1.0,4.0,19.0,37.0,23.0,84.0
81,2017-03-23,3.0,,,10.0,17.0,34.0,31.0,95.0
82,2017-03-24,1.0,,1.0,6.0,19.0,36.0,27.0,90.0
83,2017-03-25,2.0,1.0,,6.0,21.0,50.0,28.0,108.0
84,2017-03-26,2.0,,,9.0,16.0,38.0,18.0,83.0
85,2017-03-27,2.0,,1.0,8.0,23.0,45.0,18.0,97.0
86,2017-03-28,1.0,1.0,1.0,1.0,31.0,44.0,22.0,101.0
87,2017-03-29,2.0,,1.0,11.0,28.0,40.0,22.0,104.0
88,2017-03-30,3.0,,,7.0,25.0,40.0,26.0,101.0
89,2017-03-31,3.0,,,13.0,23.0,36.0,27.0,102.0
90,2017-04-01,1.0,,,6.0,18.0,41.0,32.0,98.0
91,2017-04-02,1.0,,,4.0,19.0,48.0,23.0,95.0
92,2017-04-03,1.0,,1.0,9.0,15.0,62.0,29.0,117.0
93,2017-04-04,1.0,,,5.0,20.0,39.0,31.0,96.0
